,SSINENG,YUANTA,SKITERNX,KOSEF_TIPS,SOL_AI,FCX,PLTR,QQQM,VRT
2022-01-03,21650.0,4000.0,99.3453796849536,95840.375,97.1788236204941,46332.356489410406,22076.457518062594,191348.67596878053,28925.023026180268
2022-01-04,21750.0,4030.0,99.3453796849536,95840.375,97.1788236204941,47174.78994537354,21690.800991077424,189213.0368180847,28435.95623764038
2022-01-05,21050.0,3995.0,99.3453796849536,95840.375,97.1788236204941,46750.75374145508,20290.603704681398,183905.49046569827,27211.426785011296
2022-01-06,20500.0,3910.0,98.63839062485044,95840.375,94.87404468352749,45789.14193115234,20172.034524192808,185011.0584954834,28079.936903114318
2022-01-07,20550.0,3920.0,101.64961546928721,95840.375,96.97731827917505,47147.83810180664,19884.916158714295,182387.62778137205,26964.726380310058
2022-01-10,20250.0,3885.0,100.62842494068083,95840.375,94.88664321240539,46790.75301956177,19785.645,182311.85642486575,28109.867553462984
2022-01-11,19800.0,3845.0,99.79050301609865,95840.375,95.18890630443593,48149.177693023674,20177.131070861815,184169.0582192993,28515.685216178892
2022-01-12,20250.0,3910.0,104.1372078723426,95840.375,97.19143230947593,50260.24025436401,19852.32398471832,183912.30967803954,28270.967877387997
2022-01-13,20150.0,3955.0,103.50876092798735,95840.375,97.35515222426518,49537.35729789734,19019.07977190018,179515.1312210083,28119.873254680635
2022-01-14,19900.0,3950.0,101.46635786710023,95840.375,97.84634244894471,49216.94340545654,19003.229871673586,180300.0136645508,27529.07366394043
2022-01-17,19600.0,3890.0,100.36659221723437,95840.375,97.98487546608207,49692.22358390808,17855.318118495943,176934.94198242188,26997.98184402466
2022-01-18,19800.0,3860.0,99.45011717506706,95840.375,97.27959153130953,49692.22358390808,17855.318118495943,176934.94198242188,26997.98184402466
2022-01-19,19450.0,3845.0,97.56479834567575,95840.375,95.89421055941635,49281.21369449615,17304.70609871864,174181.8567224121,26499.827682151794
2022-01-20,19550.0,3875.0,99.1882624479462,95840.375,96.989916808053,48426.357810058595,17426.455063591005,172405.11186035158,26090.080305633546
2022-01-21,19500.0,3835.0,97.38151873981438,95840.375,92.97229674940684,46033.27429092407,16153.060781202315,167842.42622375485,25370.996750850674
2022-01-24,18800.0,3620.0,95.23433418146497,95840.375,92.69520023482033,44944.58056091309,16022.111543884279,168805.80172851562,26100.061414489748
2022-01-25,17850.0,3470.0,91.46374603094972,95840.375,91.87657018056234,44684.51611343384,15654.500102977754,165230.36827911378,25317.6092351532
2022-01-26,17700.0,3520.0,91.6470311377297,95840.375,90.22668106285661,43288.0894682312,15267.615,165053.25925201416,24600.63497695923
2022-01-27,16800.0,3370.0,86.54097397724448,95840.375,87.65742446038927,41971.073809432986,14768.541678857804,164073.7136871338,23545.540276336673
2022-01-28,17400.0,3460.0,88.24299119710003,95840.375,91.47353917771638,40988.53791168213,15366.898446121215,170022.1170788574,24140.21102401733
2022-01-31,18050.0,3560.0,90.20685214223926,95840.375,91.62468088383558,42251.43734962463,16544.953846035005,175135.1444100952,25068.503952713014
2022-02-01,18050.0,3560.0,90.20685214223926,95840.375,91.62468088383558,44392.4005279541,17174.04776931763,176731.9482788086,25424.85843902588
