,RISK_SCORE,SIGNAL,ACTION,REGIME,LEADING_SCORE,COINCIDENT_SCORE,LAGGING_SCORE,GLIDE_ACCELERATE
2023-04-14,4.32,🟡 흐림,위험자산 10~20% 축소,둔화_주의,3.43,0.58,0.31,False
2023-04-17,4.32,🟡 흐림,위험자산 10~20% 축소,둔화_주의,3.43,0.58,0.31,False
2023-04-18,4.32,🟡 흐림,위험자산 10~20% 축소,둔화_주의,3.43,0.58,0.31,False
2023-04-19,4.32,🟡 흐림,위험자산 10~20% 축소,둔화_주의,3.43,0.58,0.31,False
2023-04-20,4.32,🟡 흐림,위험자산 10~20% 축소,둔화_주의,3.43,0.58,0.31,False
2023-04-21,4.32,🟡 흐림,위험자산 10~20% 축소,둔화_주의,3.43,0.58,0.31,False
2023-04-24,3.75,🟡 흐림,위험자산 10~20% 축소,과열,2.86,0.58,0.31,False
2023-04-25,2.11,🟢 맑음,기본 비중 유지,골디락스,1.71,0.58,0.31,False
2023-04-26,2.11,🟢 맑음,기본 비중 유지,골디락스,1.71,0.58,0.31,False
2023-04-27,2.68,🟢 맑음,기본 비중 유지,골디락스,2.29,0.58,0.31,False
2023-04-28,2.68,🟢 맑음,기본 비중 유지,골디락스,2.29,0.58,0.31,False
2023-05-01,2.68,🟢 맑음,기본 비중 유지,골디락스,2.29,0.58,0.31,False
2023-05-02,2.68,🟢 맑음,기본 비중 유지,골디락스,2.29,0.58,0.31,False
2023-05-03,2.68,🟢 맑음,기본 비중 유지,골디락스,2.29,0.58,0.31,False
2023-05-04,2.69,🟢 맑음,기본 비중 유지,골디락스,1.71,1.17,0.31,False
2023-05-05,2.11,🟢 맑음,기본 비중 유지,골디락스,1.71,0.58,0.31,False
2023-05-08,3.75,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,0.58,0.31,False
2023-05-09,3.75,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,0.58,0.31,False
2023-05-10,3.75,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,0.58,0.31,False
2023-05-11,3.75,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,0.58,0.31,False
2023-05-12,4.91,🟡 흐림,위험자산 10~20% 축소,둔화_주의,3.43,1.17,0.31,False
2023-05-15,3.75,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,0.58,0.31,False
2023-05-16,4.32,🟡 흐림,위험자산 10~20% 축소,둔화_주의,3.43,0.58,0.31,False
2023-05-17,4.32,🟡 흐림,위험자산 10~20% 축소,둔화_주의,3.43,0.58,0.31,False
2023-05-18,4.32,🟡 흐림,위험자산 10~20% 축소,둔화_주의,3.43,0.58,0.31,False
2023-05-19,4.32,🟡 흐림,위험자산 10~20% 축소,둔화_주의,3.43,0.58,0.31,False
2023-05-22,4.32,🟡 흐림,위험자산 10~20% 축소,둔화_주의,3.43,0.58,0.31,False
2023-05-23,4.32,🟡 흐림,위험자산 10~20% 축소,둔화_주의,3.43,0.58,0.31,False
2023-05-24,4.91,🟡 흐림,위험자산 10~20% 축소,둔화_주의,3.43,1.17,0.31,False
2023-05-25,4.91,🟡 흐림,위험자산 10~20% 축소,둔화_주의,3.43,1.17,0.31,False
2023-05-26,4.91,🟡 흐림,위험자산 10~20% 축소,둔화_주의,3.43,1.17,0.31,False
2023-05-29,4.91,🟡 흐림,위험자산 10~20% 축소,둔화_주의,3.43,1.17,0.31,False
2023-05-30,4.91,🟡 흐림,위험자산 10~20% 축소,둔화_주의,3.43,1.17,0.31,False
2023-05-31,4.91,🟡 흐림,위험자산 10~20% 축소,둔화_주의,3.43,1.17,0.31,False
2023-06-01,4.34,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,1.17,0.31,False
2023-06-02,4.34,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,1.17,0.31,False
2023-06-05,4.34,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,1.17,0.31,False
2023-06-06,4.34,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,1.17,0.31,False
2023-06-07,4.34,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,1.17,0.31,False
2023-06-08,4.34,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,1.17,0.31,False
2023-06-09,4.34,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,1.17,0.31,False
2023-06-12,4.34,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,1.17,0.31,False
2023-06-13,4.34,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,1.17,0.31,False
2023-06-14,4.34,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,1.17,0.31,False
2023-06-15,4.34,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,1.17,0.31,False
2023-06-16,4.34,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,1.17,0.31,False
2023-06-19,4.34,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,1.17,0.31,False
2023-06-20,3.75,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,0.58,0.31,False
2023-06-21,3.75,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,0.58,0.31,False
2023-06-22,3.75,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,0.58,0.31,False
2023-06-23,3.75,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,0.58,0.31,False
2023-06-26,4.34,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,1.17,0.31,False
2023-06-27,4.34,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,1.17,0.31,False
2023-06-28,3.75,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,0.58,0.31,False
2023-06-29,4.34,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,1.17,0.31,False
2023-06-30,4.34,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,1.17,0.31,False
2023-07-03,4.34,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,1.17,0.31,False
2023-07-04,4.34,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,1.17,0.31,False
2023-07-05,4.34,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,1.17,0.31,False
2023-07-06,4.34,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,1.17,0.31,False
2023-07-07,4.34,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,1.17,0.31,False
2023-07-10,4.34,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,1.17,0.31,False
2023-07-11,4.34,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,1.17,0.31,False
2023-07-12,4.34,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,1.17,0.31,False
2023-07-13,4.34,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,1.17,0.31,False
2023-07-14,4.34,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,1.17,0.31,False
2023-07-17,4.34,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,1.17,0.31,False
2023-07-18,4.34,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,1.17,0.31,False
2023-07-19,4.34,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,1.17,0.31,False
2023-07-20,4.34,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,1.17,0.31,False
2023-07-21,4.34,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,1.17,0.31,False
2023-07-24,4.34,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,1.17,0.31,False
2023-07-25,4.34,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,1.17,0.31,False
2023-07-26,4.34,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,1.17,0.31,False
2023-07-27,4.34,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,1.17,0.31,False
2023-07-28,4.34,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,1.17,0.31,False
2023-07-31,4.34,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,1.17,0.31,False
2023-08-01,4.34,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,1.17,0.31,False
2023-08-02,4.34,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,1.17,0.31,False
2023-08-03,4.34,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,1.17,0.31,False
2023-08-04,4.34,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,1.17,0.31,False
2023-08-07,4.34,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,1.17,0.31,False
2023-08-08,4.34,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,1.17,0.31,False
2023-08-09,3.75,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,0.58,0.31,False
2023-08-10,3.75,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,0.58,0.31,False
2023-08-11,3.75,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,0.58,0.31,False
2023-08-14,3.75,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,0.58,0.31,False
2023-08-15,3.75,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,0.58,0.31,False
2023-08-16,3.75,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,0.58,0.31,False
2023-08-17,3.75,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,0.58,0.31,False
2023-08-18,3.75,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,0.58,0.31,False
2023-08-21,3.75,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,0.58,0.31,False
2023-08-22,3.75,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,0.58,0.31,False
2023-08-23,3.75,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,0.58,0.31,False
2023-08-24,3.75,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,0.58,0.31,False
2023-08-25,3.75,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,0.58,0.31,False
2023-08-28,3.75,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,0.58,0.31,False
2023-08-29,3.75,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,0.58,0.31,False
2023-08-30,4.34,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,1.17,0.31,False
2023-08-31,4.34,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,1.17,0.31,False
2023-09-01,4.34,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,1.17,0.31,False
2023-09-04,4.34,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,1.17,0.31,False
2023-09-05,3.75,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,0.58,0.31,False
2023-09-06,3.75,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,0.58,0.31,False
2023-09-07,3.75,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,0.58,0.31,False
2023-09-08,3.75,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,0.58,0.31,False
2023-09-11,3.75,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,0.58,0.31,False
2023-09-12,3.75,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,0.58,0.31,False
2023-09-13,3.75,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,0.58,0.31,False
2023-09-14,4.34,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,1.17,0.31,False
2023-09-15,4.34,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.86,1.17,0.31,False
2023-09-18,2.11,🟢 맑음,기본 비중 유지,골디락스,1.71,0.58,0.31,False
2023-09-19,2.11,🟢 맑음,기본 비중 유지,골디락스,1.71,0.58,0.31,False
2023-09-20,2.11,🟢 맑음,기본 비중 유지,골디락스,1.71,0.58,0.31,False
2023-09-21,2.11,🟢 맑음,기본 비중 유지,골디락스,1.71,0.58,0.31,False
2023-09-22,2.11,🟢 맑음,기본 비중 유지,골디락스,1.71,0.58,0.31,False
2023-09-25,2.11,🟢 맑음,기본 비중 유지,골디락스,1.71,0.58,0.31,False
2023-09-26,1.54,🟢 맑음,기본 비중 유지,골디락스,1.14,0.58,0.31,False
2023-09-27,1.54,🟢 맑음,기본 비중 유지,골디락스,1.14,0.58,0.31,False
2023-09-28,1.54,🟢 맑음,기본 비중 유지,골디락스,1.14,0.58,0.31,False
2023-09-29,1.54,🟢 맑음,기본 비중 유지,골디락스,1.14,0.58,0.31,False
2023-10-02,1.85,🟢 맑음,기본 비중 유지,골디락스,1.14,0.58,0.62,False
2023-10-03,1.27,🟢 맑음,기본 비중 유지,골디락스,1.14,0.0,0.62,False
2023-10-04,1.85,🟢 맑음,기본 비중 유지,골디락스,1.14,0.58,0.62,False
2023-10-05,1.27,🟢 맑음,기본 비중 유지,골디락스,1.14,0.0,0.62,False
2023-10-06,1.27,🟢 맑음,기본 비중 유지,골디락스,1.14,0.0,0.62,False
2023-10-09,1.85,🟢 맑음,기본 비중 유지,골디락스,1.14,0.58,0.62,False
2023-10-10,1.85,🟢 맑음,기본 비중 유지,골디락스,1.14,0.58,0.62,False
2023-10-11,1.85,🟢 맑음,기본 비중 유지,골디락스,1.14,0.58,0.62,False
2023-10-12,1.85,🟢 맑음,기본 비중 유지,골디락스,1.14,0.58,0.62,False
2023-10-13,2.43,🟢 맑음,기본 비중 유지,골디락스,1.14,1.17,0.62,False
2023-10-16,1.85,🟢 맑음,기본 비중 유지,골디락스,1.14,0.58,0.62,False
2023-10-17,2.92,🟢 맑음,기본 비중 유지,과열,1.71,0.58,0.62,False
2023-10-18,2.92,🟢 맑음,기본 비중 유지,과열,1.71,0.58,0.62,False
2023-10-19,3.51,🟡 흐림,위험자산 10~20% 축소,과열,1.71,1.17,0.62,False
2023-10-20,3.51,🟡 흐림,위험자산 10~20% 축소,과열,1.71,1.17,0.62,False
2023-10-23,3.51,🟡 흐림,위험자산 10~20% 축소,과열,1.71,1.17,0.62,False
2023-10-24,2.92,🟢 맑음,기본 비중 유지,과열,1.71,0.58,0.62,False
2023-10-25,3.51,🟡 흐림,위험자산 10~20% 축소,과열,1.71,1.17,0.62,False
2023-10-26,3.51,🟡 흐림,위험자산 10~20% 축소,과열,1.71,1.17,0.62,False
2023-10-27,3.51,🟡 흐림,위험자산 10~20% 축소,과열,1.71,1.17,0.62,False
2023-10-30,2.92,🟢 맑음,기본 비중 유지,과열,1.71,0.58,0.62,False
2023-10-31,2.34,🟢 맑음,기본 비중 유지,과열,1.71,0.0,0.62,False
2023-11-01,2.34,🟢 맑음,기본 비중 유지,과열,1.71,0.0,0.62,False
2023-11-02,2.92,🟢 맑음,기본 비중 유지,과열,1.71,0.58,0.62,False
2023-11-03,2.92,🟢 맑음,기본 비중 유지,과열,1.71,0.58,0.62,False
2023-11-06,2.92,🟢 맑음,기본 비중 유지,과열,1.71,0.58,0.62,False
2023-11-07,2.92,🟢 맑음,기본 비중 유지,과열,1.71,0.58,0.62,False
2023-11-08,1.85,🟢 맑음,기본 비중 유지,골디락스,1.14,0.58,0.62,False
2023-11-09,1.85,🟢 맑음,기본 비중 유지,골디락스,1.14,0.58,0.62,False
2023-11-10,1.85,🟢 맑음,기본 비중 유지,골디락스,1.14,0.58,0.62,False
2023-11-13,3.49,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.29,0.58,0.62,False
2023-11-14,3.49,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.29,0.58,0.62,False
2023-11-15,4.08,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.29,1.17,0.62,False
2023-11-16,4.08,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.29,1.17,0.62,False
2023-11-17,4.08,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.29,1.17,0.62,False
2023-11-20,2.43,🟢 맑음,기본 비중 유지,골디락스,1.14,1.17,0.62,False
2023-11-21,2.43,🟢 맑음,기본 비중 유지,골디락스,1.14,1.17,0.62,False
2023-11-22,2.43,🟢 맑음,기본 비중 유지,골디락스,1.14,1.17,0.62,False
2023-11-23,2.43,🟢 맑음,기본 비중 유지,골디락스,1.14,1.17,0.62,False
2023-11-24,2.43,🟢 맑음,기본 비중 유지,골디락스,1.14,1.17,0.62,False
2023-11-27,2.43,🟢 맑음,기본 비중 유지,골디락스,1.14,1.17,0.62,False
2023-11-28,2.43,🟢 맑음,기본 비중 유지,골디락스,1.14,1.17,0.62,False
2023-11-29,1.85,🟢 맑음,기본 비중 유지,골디락스,1.14,0.58,0.62,False
2023-11-30,2.43,🟢 맑음,기본 비중 유지,골디락스,1.14,1.17,0.62,False
2023-12-01,2.12,🟢 맑음,기본 비중 유지,골디락스,1.14,1.17,0.31,False
2023-12-04,2.12,🟢 맑음,기본 비중 유지,골디락스,1.14,1.17,0.31,False
2023-12-05,2.12,🟢 맑음,기본 비중 유지,골디락스,1.14,1.17,0.31,False
2023-12-06,2.12,🟢 맑음,기본 비중 유지,골디락스,1.14,1.17,0.31,False
2023-12-07,1.54,🟢 맑음,기본 비중 유지,골디락스,1.14,0.58,0.31,False
2023-12-08,1.54,🟢 맑음,기본 비중 유지,골디락스,1.14,0.58,0.31,False
2023-12-11,2.12,🟢 맑음,기본 비중 유지,골디락스,1.14,1.17,0.31,False
2023-12-12,2.69,🟢 맑음,기본 비중 유지,골디락스,1.71,1.17,0.31,False
2023-12-13,2.12,🟢 맑음,기본 비중 유지,골디락스,1.14,1.17,0.31,False
2023-12-14,2.12,🟢 맑음,기본 비중 유지,골디락스,1.14,1.17,0.31,False
2023-12-15,2.69,🟢 맑음,기본 비중 유지,골디락스,1.71,1.17,0.31,False
2023-12-18,1.54,🟢 맑음,기본 비중 유지,골디락스,1.14,0.58,0.31,False
2023-12-19,1.54,🟢 맑음,기본 비중 유지,골디락스,1.14,0.58,0.31,False
2023-12-20,1.54,🟢 맑음,기본 비중 유지,골디락스,1.14,0.58,0.31,False
2023-12-21,1.54,🟢 맑음,기본 비중 유지,골디락스,1.14,0.58,0.31,False
2023-12-22,1.54,🟢 맑음,기본 비중 유지,골디락스,1.14,0.58,0.31,False
2023-12-25,1.54,🟢 맑음,기본 비중 유지,골디락스,1.14,0.58,0.31,False
2023-12-26,1.54,🟢 맑음,기본 비중 유지,골디락스,1.14,0.58,0.31,False
2023-12-27,1.54,🟢 맑음,기본 비중 유지,골디락스,1.14,0.58,0.31,False
2023-12-28,1.54,🟢 맑음,기본 비중 유지,골디락스,1.14,0.58,0.31,False
2023-12-29,1.54,🟢 맑음,기본 비중 유지,골디락스,1.14,0.58,0.31,False
2024-01-01,1.54,🟢 맑음,기본 비중 유지,골디락스,1.14,0.58,0.31,False
2024-01-02,1.54,🟢 맑음,기본 비중 유지,골디락스,1.14,0.58,0.31,False
2024-01-03,1.54,🟢 맑음,기본 비중 유지,골디락스,1.14,0.58,0.31,False
2024-01-04,1.54,🟢 맑음,기본 비중 유지,골디락스,1.14,0.58,0.31,False
2024-01-05,1.54,🟢 맑음,기본 비중 유지,골디락스,1.14,0.58,0.31,False
2024-01-08,1.54,🟢 맑음,기본 비중 유지,골디락스,1.14,0.58,0.31,False
2024-01-09,2.12,🟢 맑음,기본 비중 유지,골디락스,1.14,1.17,0.31,False
2024-01-10,1.54,🟢 맑음,기본 비중 유지,골디락스,1.14,0.58,0.31,False
2024-01-11,2.12,🟢 맑음,기본 비중 유지,골디락스,1.14,1.17,0.31,False
2024-01-12,2.12,🟢 맑음,기본 비중 유지,골디락스,1.14,1.17,0.31,False
2024-01-15,2.12,🟢 맑음,기본 비중 유지,골디락스,1.14,1.17,0.31,False
2024-01-16,1.54,🟢 맑음,기본 비중 유지,골디락스,1.14,0.58,0.31,False
2024-01-17,2.12,🟢 맑음,기본 비중 유지,골디락스,1.14,1.17,0.31,False
2024-01-18,2.12,🟢 맑음,기본 비중 유지,골디락스,1.14,1.17,0.31,False
2024-01-19,2.12,🟢 맑음,기본 비중 유지,골디락스,1.14,1.17,0.31,False
2024-01-22,3.76,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.29,1.17,0.31,False
2024-01-23,3.76,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.29,1.17,0.31,False
2024-01-24,3.45,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.29,1.17,0.0,False
2024-01-25,3.45,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.29,1.17,0.0,False
2024-01-26,3.45,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.29,1.17,0.0,False
2024-01-29,3.45,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.29,1.17,0.0,False
2024-01-30,3.76,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.29,1.17,0.31,False
2024-01-31,3.76,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.29,1.17,0.31,False
2024-02-01,3.76,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.29,1.17,0.31,False
2024-02-02,3.76,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.29,1.17,0.31,False
2024-02-05,2.12,🟢 맑음,기본 비중 유지,골디락스,1.14,1.17,0.31,False
2024-02-06,2.12,🟢 맑음,기본 비중 유지,골디락스,1.14,1.17,0.31,False
2024-02-07,2.12,🟢 맑음,기본 비중 유지,골디락스,1.14,1.17,0.31,False
2024-02-08,1.81,🟢 맑음,기본 비중 유지,골디락스,1.14,1.17,0.0,False
2024-02-09,2.12,🟢 맑음,기본 비중 유지,골디락스,1.14,1.17,0.31,False
2024-02-12,2.12,🟢 맑음,기본 비중 유지,골디락스,1.14,1.17,0.31,False
2024-02-13,2.88,🟢 맑음,기본 비중 유지,과열,1.71,1.17,0.0,False
2024-02-14,2.88,🟢 맑음,기본 비중 유지,과열,1.71,1.17,0.0,False
2024-02-15,2.88,🟢 맑음,기본 비중 유지,과열,1.71,1.17,0.0,False
2024-02-16,2.88,🟢 맑음,기본 비중 유지,과열,1.71,1.17,0.0,False
2024-02-19,2.88,🟢 맑음,기본 비중 유지,과열,1.71,1.17,0.0,False
2024-02-20,2.88,🟢 맑음,기본 비중 유지,과열,1.71,1.17,0.0,False
2024-02-21,2.88,🟢 맑음,기본 비중 유지,과열,1.71,1.17,0.0,False
2024-02-22,2.88,🟢 맑음,기본 비중 유지,과열,1.71,1.17,0.0,False
2024-02-23,2.88,🟢 맑음,기본 비중 유지,과열,1.71,1.17,0.0,False
2024-02-26,2.88,🟢 맑음,기본 비중 유지,과열,1.71,1.17,0.0,False
2024-02-27,2.88,🟢 맑음,기본 비중 유지,과열,1.71,1.17,0.0,False
2024-02-28,2.88,🟢 맑음,기본 비중 유지,과열,1.71,1.17,0.0,False
2024-02-29,3.19,🟡 흐림,위험자산 10~20% 축소,과열,1.71,1.17,0.31,False
2024-03-01,3.51,🟡 흐림,위험자산 10~20% 축소,과열,1.71,1.17,0.62,False
2024-03-04,3.51,🟡 흐림,위험자산 10~20% 축소,과열,1.71,1.17,0.62,False
2024-03-05,3.51,🟡 흐림,위험자산 10~20% 축소,과열,1.71,1.17,0.62,False
2024-03-06,3.51,🟡 흐림,위험자산 10~20% 축소,과열,1.71,1.17,0.62,False
2024-03-07,3.51,🟡 흐림,위험자산 10~20% 축소,과열,1.71,1.17,0.62,False
2024-03-08,3.19,🟡 흐림,위험자산 10~20% 축소,과열,1.71,1.17,0.31,False
2024-03-11,3.19,🟡 흐림,위험자산 10~20% 축소,과열,1.71,1.17,0.31,False
2024-03-12,3.19,🟡 흐림,위험자산 10~20% 축소,과열,1.71,1.17,0.31,False
2024-03-13,3.19,🟡 흐림,위험자산 10~20% 축소,과열,1.71,1.17,0.31,False
2024-03-14,3.19,🟡 흐림,위험자산 10~20% 축소,과열,1.71,1.17,0.31,False
2024-03-15,2.61,🟢 맑음,기본 비중 유지,과열,1.71,0.58,0.31,False
2024-03-18,2.61,🟢 맑음,기본 비중 유지,과열,1.71,0.58,0.31,False
2024-03-19,3.19,🟡 흐림,위험자산 10~20% 축소,과열,1.71,1.17,0.31,False
2024-03-20,3.19,🟡 흐림,위험자산 10~20% 축소,과열,1.71,1.17,0.31,False
2024-03-21,3.19,🟡 흐림,위험자산 10~20% 축소,과열,1.71,1.17,0.31,False
2024-03-22,3.19,🟡 흐림,위험자산 10~20% 축소,과열,1.71,1.17,0.31,False
2024-03-25,3.19,🟡 흐림,위험자산 10~20% 축소,과열,1.71,1.17,0.31,False
2024-03-26,3.19,🟡 흐림,위험자산 10~20% 축소,과열,1.71,1.17,0.31,False
2024-03-27,3.19,🟡 흐림,위험자산 10~20% 축소,과열,1.71,1.17,0.31,False
2024-03-28,3.19,🟡 흐림,위험자산 10~20% 축소,과열,1.71,1.17,0.31,False
2024-03-29,3.19,🟡 흐림,위험자산 10~20% 축소,과열,1.71,1.17,0.31,False
2024-04-01,3.76,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.29,1.17,0.31,False
2024-04-02,3.76,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.29,1.17,0.31,False
2024-04-03,3.18,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.29,0.58,0.31,False
2024-04-04,3.76,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.29,1.17,0.31,False
2024-04-05,3.76,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.29,1.17,0.31,False
2024-04-08,3.19,🟡 흐림,위험자산 10~20% 축소,과열,1.71,1.17,0.31,False
2024-04-09,2.61,🟢 맑음,기본 비중 유지,과열,1.71,0.58,0.31,False
2024-04-10,2.61,🟢 맑음,기본 비중 유지,과열,1.71,0.58,0.31,False
2024-04-11,2.61,🟢 맑음,기본 비중 유지,과열,1.71,0.58,0.31,False
2024-04-12,3.19,🟡 흐림,위험자산 10~20% 축소,과열,1.71,1.17,0.31,False
2024-04-15,2.61,🟢 맑음,기본 비중 유지,과열,1.71,0.58,0.31,False
2024-04-16,2.61,🟢 맑음,기본 비중 유지,과열,1.71,0.58,0.31,False
2024-04-17,2.61,🟢 맑음,기본 비중 유지,과열,1.71,0.58,0.31,False
2024-04-18,2.61,🟢 맑음,기본 비중 유지,과열,1.71,0.58,0.31,False
2024-04-19,2.61,🟢 맑음,기본 비중 유지,과열,1.71,0.58,0.31,False
2024-04-22,2.61,🟢 맑음,기본 비중 유지,과열,1.71,0.58,0.31,False
2024-04-23,2.61,🟢 맑음,기본 비중 유지,과열,1.71,0.58,0.31,False
2024-04-24,2.61,🟢 맑음,기본 비중 유지,과열,1.71,0.58,0.31,False
2024-04-25,2.61,🟢 맑음,기본 비중 유지,과열,1.71,0.58,0.31,False
2024-04-26,3.19,🟡 흐림,위험자산 10~20% 축소,과열,1.71,1.17,0.31,False
2024-04-29,2.61,🟢 맑음,기본 비중 유지,과열,1.71,0.58,0.31,False
2024-04-30,2.61,🟢 맑음,기본 비중 유지,과열,1.71,0.58,0.31,False
2024-05-01,2.61,🟢 맑음,기본 비중 유지,과열,1.71,0.58,0.31,False
2024-05-02,2.61,🟢 맑음,기본 비중 유지,과열,1.71,0.58,0.31,False
2024-05-03,2.61,🟢 맑음,기본 비중 유지,과열,1.71,0.58,0.31,False
2024-05-06,3.18,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.29,0.58,0.31,False
2024-05-07,3.18,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.29,0.58,0.31,False
2024-05-08,3.18,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.29,0.58,0.31,False
2024-05-09,3.18,🟡 흐림,위험자산 10~20% 축소,둔화_주의,2.29,0.58,0.31,False
