,SSINENG,YUANTA,SKITERNX,KOSEF_TIPS,SOL_AI,FCX,PLTR,QQQM,VRT
2022-01-04,0.004608303086194181,0.0074720148387010564,0.0,0.0,0.0,0.0180190772984453,-0.017623516837585586,-0.011223733224609142,-0.017052660055715194
2022-01-05,-0.032713197406302706,-0.008722796740353651,0.0,0.0,0.0,-0.009029260159814942,-0.06673034600713423,-0.028451572324080483,-0.04401742161494315
2022-01-06,-0.026475673984027906,-0.02150620522096362,-0.007141919401888059,0.0,-0.024002657290633694,-0.020783391142386313,-0.005860691495167296,0.005993612065069047,0.03141834464122748
2022-01-07,0.002436054797881121,0.0025542798050967007,0.030071214099018702,0.0,0.021926952533656896,0.02924116925471337,-0.014335753361124916,-0.014281353749417278,-0.040525750593679834
2022-01-10,-0.014706147389695449,-0.008968669982760375,-0.010096985340682254,0.0,-0.02179416919442995,-0.007602558179921266,-0.005004787581814313,-0.00041552763783836113,0.041591091662898746
2022-01-11,-0.02247285585205863,-0.01034938086200352,-0.00836175320699545,0.0,0.0031804547990395985,0.02861846172279204,0.019593163103568786,0.010135412889795777,0.01433362116113106
2022-01-12,0.022472855852058576,0.016763771039667152,0.04263631745605199,0.0,0.02081915802562401,0.042910252262308636,-0.016228760268493365,-0.0013950642727006293,-0.008618886317959203
2022-01-13,-0.004950505159856203,0.011443227222342714,-0.006053080315803588,0.0,0.0016830925490719073,-0.014487234510121558,-0.042878403778506685,-0.02419956530148112,-0.005358848396624134
2022-01-14,-0.012484556662245284,-0.0012650223065867451,-0.019928961815250994,0.0,0.005032658814688967,-0.0064891354505828055,-0.0008337158522590543,0.004362705125674918,-0.0212338892828122
2022-01-17,-0.01519016549397512,-0.015306421282675545,-0.01089788891024807,0.0,0.0014148208004929514,0.00961051136233928,-0.06230756030372353,-0.018840100411163973,-0.019480553654888166
2022-01-18,0.010152371464017908,-0.007741974153615397,-0.009173221514592251,0.0,-0.007223915469271092,0.0,0.0,0.0,0.0
2022-01-19,-0.0178348676360342,-0.00389358051913221,-0.019139427856966935,0.0,-0.014343608802765959,-0.008305506272840574,-0.03132290432321313,-0.015682198587094028,-0.018623886282338582
2022-01-20,0.005128216366919529,0.0077720598477031095,0.016502929519638037,0.0,0.011361412158343652,-0.017498699119290483,0.007010964188796751,-0.01025289804673077,-0.015583053243308656
2022-01-21,-0.002560820861673704,-0.010376227986090858,-0.01838323854625787,0.0,-0.04230545830581841,-0.050679759198509255,-0.07587990375956379,-0.02682140883335245,-0.02794851576471112
2022-01-24,-0.03655759573379758,-0.05769540898153979,-0.02229591670239336,0.0,-0.002984870532740828,-0.023934301437994087,-0.00813981407868212,0.005723351882016592,0.02833100596875811
2022-01-25,-0.05185336161025538,-0.04231943187891181,-0.040397854418946104,0.0,-0.008870646041519556,-0.00580314176904231,-0.023211317520081758,-0.02140828045269186,-0.030437496545894734
2022-01-26,-0.008438868645864595,0.01430639565123793,0.0020019047576058154,0.0,-0.018120865535915888,-0.03174951878607033,-0.025024503742013923,-0.0010724663853256906,-0.02872791614886399
2022-01-27,-0.05218575317057019,-0.043548245245735355,-0.057326590901426014,0.0,-0.028888868705818693,-0.030896864967407515,-0.03323456210962647,-0.005952404619596635,-0.04383582470223037
2022-01-28,0.03509131981127019,0.026355844705362456,0.019476283415111168,0.0,0.0426134275977018,-0.02368819769503796,0.03971638816532995,0.03561272850860975,0.024942527330991705
2022-01-31,0.03667547855840657,0.02849195579430624,0.022011117486920792,0.0,0.0016509362067810974,0.030345908844423553,0.07386540728526418,0.029629400609174045,0.037733278282090485
2022-02-01,0.0,0.0,0.0,0.0,0.0,0.04942992217447391,0.0373182419692217,0.009076238521211205,0.014115138544974275
2022-02-02,0.0,0.0,0.0,0.0,0.0,0.003017356864684305,-0.07039553060064672,0.0016621337155493013,0.003947576181498856
2022-02-03,0.0,0.0,0.0,0.0,0.0,-0.026814400544239964,-0.0636839837562994,-0.037080795220783114,-0.015068845637042218
2022-02-04,0.01101939524961048,0.009783446309071029,0.01555314007581924,0.0,0.008622429686647962,-1.0501113330942953e-05,0.03284982121063135,0.005661216679203183,0.013178068647643069
2022-02-07,-0.005494519317640702,0.009688657103749339,-0.012654398289050923,0.0,-0.022045435033884928,0.011757275459323353,0.002427556171251023,-0.007820285390225163,0.012845523857140368
2022-02-08,0.0,-0.0069108775398470275,-0.011352395889598502,0.0,-0.01134868480732645,0.04302030988034804,0.012519707902190796,0.01067070871907914,0.04029251797835138
2022-02-09,0.013680103904080176,0.021948754904387517,0.011641723353002864,0.0,0.014269953907346557,0.06822077096213956,0.05189487499223724,0.01908879610693459,0.011822019353693404
2022-02-10,0.010810916104215676,0.010796326190222864,0.014649145695836937,0.0,0.0091262194487391,0.007961013439555978,-0.02264570693181123,-0.0220328603101259,-0.0181720105966818
2022-02-11,-0.021739986636405875,0.0,-0.021617866872219425,0.0,-0.016795395098719523,-0.02359140821859508,-0.030212114860240613,-0.030436428458908447,-0.056327769539077206
2022-02-14,-0.025036078161324887,-0.008086297431357707,-0.03952379592910089,0.0,-0.037945232272641925,-0.010307497531379167,0.0077562095539946505,-0.0008362438899380594,-0.017349209298928758
2022-02-15,-0.008486613877318694,-0.021888698789437097,0.0,0.0,0.0,0.03131464908505656,0.06935503832156949,0.026821033240307247,0.043456339307083335
2022-02-16,0.028013036227673888,0.01509980645575084,0.03250635560938137,0.0,0.03878467812516714,0.011300137737032413,-0.016108672357717426,-0.0018938056542564352,0.0109385679552989
2022-02-17,-0.008321823337492217,-0.0013633267278640533,0.004099489079634609,0.0,0.0011182788085707604,-0.023883502053270018,-0.17145844517132897,-0.0301143823730981,-0.05967239225886226
2022-02-18,-0.005586606708639823,-0.00136518792533997,0.0023351029975627055,0.0,0.0036256532381464014,-0.006070321297955266,-0.0675054455386047,-0.012986270372744118,-0.012353368001749845
2022-02-21,-0.011267724846342269,-0.012371291802546829,-0.005554899018968614,0.0,-0.007825690865385893,-0.018250081707871048,-0.053032775707844794,-0.012874977506796604,-0.04775243660766776
2022-02-22,-0.025826399559898423,-0.01955369562663723,-0.025535597791100637,0.0,-0.01740654493794186,0.0,0.0,0.0,0.0
2022-02-23,0.005797117684325915,0.004222384879848261,0.0116608482558167,0.0,0.01220236218498968,0.0034899620381867863,-0.003650493886484242,-0.02531100708400543,-0.45678345914889074
2022-02-24,-0.05954139369101658,-0.016997576368571136,-0.029870926056370123,0.0,-0.03137139414329429,0.03668959514662276,0.13339889647526496,0.04012432178716208,0.00825410205713568
2022-02-25,0.042048236243499404,0.008534902449837506,0.018811326190679864,0.0,0.022162454005484694,0.05785871624287469,-0.031244776986826126,0.015746716099935314,0.06298604176092538
2022-02-28,0.008784829555732811,0.004240289038885442,0.01046484139982856,0.0,0.00525243132478659,0.013368982583131966,0.032884101283465146,0.004150211781738764,-0.013439111769997073
2022-03-01,0.051147511166941,0.0028169032711133734,0.013883070330026703,0.0,0.00972176963350858,0.021952974364692814,0.029179332535604854,-0.015024933668547989,-0.031871896099345015
2022-03-02,0.0,0.0,0.0,0.0,0.0,0.006233570717289934,-0.008871981349811165,0.018116174338998065,-0.046967027412168745
2022-03-03,0.0,0.03183659881127468,0.0058496932287345526,0.0,0.021362966729162366,0.01810589886922819,-0.06257869096351251,-0.015263302926912768,-0.043580498608447836
2022-03-04,0.016483889721689415,-0.0027285146532040625,-0.015280953503112838,0.0,-0.015909593629351855,0.02830688943244205,-0.026342244706971957,-0.006850971207302846,-0.0765853689032733
2022-03-07,-0.010959013789719543,-0.02210034700066597,-0.024278177560699193,0.0,-0.030152964703592824,-0.05017544759199083,0.02430435393364212,-0.02695425342560652,-0.039736117853750044
2022-03-08,-0.013869847864150502,-0.015482364148376988,-0.015594226339373638,0.0,-0.01842122389900663,-0.0017908258546264339,0.0021212102579781446,0.003866868522401569,0.02227607560911151
2022-03-09,0.0,0.009880108599707019,0.0067567846426649,0.0,0.02515319249731428,0.00426776801288055,0.05121554288896005,0.03193476497310508,0.06662346736606198
2022-03-10,0.0,0.0,0.0,0.0,0.0,0.010494884751912797,0.013996847411218405,-0.015149598806151326,0.03742864156963553
2022-03-11,0.011111225425070849,0.0056022555486697516,-0.007990187468075154,0.0,-0.009178283313009879,-0.0138330671578633,-0.03862763850945753,-0.018109223080582236,0.041398730275306335
2022-03-14,-0.016713480973740556,-0.004198746546349716,-0.0139818287789876,0.0,-0.02420655316762353,-0.04463927377518152,-0.07328102182665797,-0.011285700612668549,-0.053760025234234524
2022-03-15,-0.011299555253933394,-0.019830678180485735,-0.02246585390472033,0.0,-0.009193284201511765,-0.004447165951806943,0.026347366199307547,0.03179466515605702,0.06701162179071611
2022-03-16,0.0,0.019830678180485714,0.01901811421993465,0.0,0.030947523519979713,0.03537056218107233,0.07866038407808537,0.02382115365818802,0.02369934884429417
2022-03-17,0.02524678273478389,0.019445057119223376,0.020510227804958824,0.0,0.029598220167640552,0.03446025927789455,0.03274530390067094,0.0010613448602164212,0.059279971133807376
2022-03-18,0.01101939524961048,-0.00828734024857027,0.010708370486187346,0.0,0.011015899628546936,-0.012306774752910114,0.03802690052413937,0.018718317947417476,0.011768281082865937
2022-03-21,-0.016574965094212676,-0.004169568236724892,0.006067993552505454,0.0,-0.0020822110465836237,0.03253671529375165,-0.01487499516134848,0.000759751911023776,-0.024004582930839128
2022-03-22,0.024760549680652118,0.0069396531105404,0.010531219114139456,0.0,0.012703828241030907,0.007841809543671911,0.05340032339156238,0.01998298615567846,0.02952194428778206
2022-03-23,-0.016438726343159835,0.004140792666031387,0.007454792755382869,0.0,0.003287631807242761,-0.0003216264121028033,-0.006123608538708406,-0.013655483092349131,-0.022689207659834714
2022-03-24,-0.011111225425070722,0.004123717183862156,0.010050458181783161,0.0,0.00395830717795396,0.034469861581475365,0.017882790623739122,0.023606232998347163,-0.023418559280934587
2022-03-25,-0.002797204621061254,0.010914160180678553,-0.008566020738021726,0.0,0.0014971371179935303,0.007908660708311345,-0.0332466561699284,-0.0017829769319102468,0.0040847695478159265
2022-03-28,-0.005617992304223261,0.004062294008878926,0.003553449107074816,0.0,0.0006798563590949005,-0.027013913698426786,0.03958124857486454,0.020313861971644417,0.020918520649313918
2022-03-29,0.01398624197473987,-0.002706361597742914,0.007069301756245235,0.0,0.007582914565794881,-0.00870039996302328,0.05138263824843881,0.012330205057197556,0.039105538837387446
2022-03-30,-0.0027816429618768026,0.0,-0.0020567301252983456,0.0,0.002290731608244808,0.004824931702030288,-0.031649274137138333,-0.019523911397863906,-0.003737612432650709
2022-03-31,0.011080445776571959,0.0027063615977428457,0.01720426381612,0.0,-0.006345780946514568,-0.01813939421264441,-0.008312067040630916,-0.011312457504668721,0.023485574174517555
2022-04-01,-0.008298802814695066,0.004045858519543796,-0.0040558533886238465,0.0,-0.014873678647391244,0.02731371176666656,0.010339153586151978,0.0022091668322273108,0.04367551866736703
2022-04-04,0.011049836186584935,0.013369183082134417,0.01125724645145534,0.0,0.0026087053662828355,-0.0016472656763880473,0.05576494881378504,0.019683967081116225,-0.006661137990102048
2022-04-05,0.024424552007074794,0.0013271402080624938,-0.0014360753971183538,0.0,0.003831860539852381,-0.03799532142913406,-0.05369305883750547,-0.02409336749167777,-0.046961372095697985
2022-04-06,-0.008075414005545418,-0.013351333174864225,-0.010401819272046147,0.0,-0.025594438336088123,-0.02120515504420751,-0.06621982402197628,-0.02233216986136192,-0.013813444649733359
2022-04-07,0.024033199444156193,-0.01489533294644036,-0.022320994342108793,0.0,-0.0004206279154740718,0.013973388022726328,-0.007111591229644159,0.007885469193727119,-0.008734546755736514
2022-04-08,-0.007947061692531834,0.0,0.01882951713137437,0.0,0.0025203279837091048,0.015105574293323402,-0.00591440706343583,-0.008502076794458547,0.01023238741975955
2022-04-11,-0.008010723746078972,0.0,-0.0049669846714723515,0.0,-0.012523871828561586,-0.019145987530603602,0.003556833506214587,-0.01667020611468789,-0.03706930134148119
2022-04-12,0.0026773777707163942,-0.008219224353132125,-0.015051279936702496,0.0,0.0005662060997520738,0.007996725307149306,-0.013777625760883499,-0.0029254479534090625,-0.044447227581984224
2022-04-13,0.010638398205055797,0.013661414655817277,0.016514677149926518,0.0,0.016422674416443697,0.02529258162893247,0.02750984022882385,0.012941486096994612,0.051669667421290845
2022-04-14,0.013140793561058328,0.010796326190222864,0.0043776920417985445,0.0,-0.004325245471562218,-0.007306705846481873,-0.04035867248555097,-0.025587282390421188,-0.06049506659901339
2022-04-15,-0.021108963210235168,0.004018759594917655,-0.010833300966341207,0.0,-0.008706680686281892,0.039386081191386535,-0.014208075465321863,0.009063007752800003,-0.01841715110386515
2022-04-18,-0.008032171697264267,-0.005361943141385399,-0.0011780576000533095,0.0,0.005205142072712385,0.0,0.0,0.0,0.0
2022-04-19,0.005361943141385373,0.004024150299725548,0.009679101310882723,0.0,0.03312008885245523,-0.0002968588585055731,0.0629400234697178,0.023701420761444672,0.08269227265287593
2022-04-20,-0.005361943141385399,0.0013377928416599535,0.0008751344703204459,0.0,-0.000271386530555207,-0.015732081374332716,-0.01034998511547282,-0.0155111297898944,-0.01410362759857807
2022-04-21,0.005361943141385373,0.002670228555878892,0.013037992592216297,0.0,0.00824824515893913,-0.1021659146917372,-0.034323789823088986,-0.018209670432910094,-0.03400575379498528
2022-04-22,0.010638398205055797,-0.010723963362975724,-0.010998700268799155,0.0,-0.01137592381345311,-0.06879143371099695,-0.02923258763290515,-0.025741725611924227,-0.06609387761194739
2022-04-25,0.005277057100843819,-0.019048194970694474,-0.017616404931337426,0.0,-0.023845368901532472,0.0019794571266122953,0.020666174937817396,0.021192123688223066,0.04450843136392581
2022-04-26,0.0026281224062694084,-0.0055096558109695845,-0.0017788612489158624,0.0,0.008334656718746275,-0.02756624897177274,-0.07692046793941526,-0.03004735884625641,-0.035709080865320104
2022-04-27,-0.005263170044274644,-0.015309971971420418,-0.011640154666657791,0.0,-0.014912228832449881,0.0439915312710721,-0.04457233073961517,0.006103196545210774,0.11617929648549877
2022-04-28,0.005263170044274691,0.0028011222797117733,0.023594472892065777,0.0,-0.007814058450869946,0.005284013771090469,0.037958468282384604,0.03629680856966776,-0.006891201872337317
2022-04-29,-0.005263170044274644,0.0013976242666379351,0.006555541748357413,0.0,0.013177618269718713,-0.043685653899202884,-0.06390241575182383,-0.05792589699676028,-0.030558463290181095
2022-05-02,0.01049878409821957,-0.008415196925284472,-0.0029745210738434434,0.0,0.002249632640493283,-0.0017333922885930336,0.039602566301995046,0.023741326933435683,0.01379761658159746
2022-05-03,0.0026075634070807695,0.005617992304223274,0.0,0.0,0.0,0.0012903362846219864,-0.015812127170411132,0.0034096180912854728,0.013078203464939238
2022-05-04,0.02316705928153438,-0.004210532536343494,0.005940159591615509,0.0,-0.008037707068051068,0.026186855693748918,0.0378966463889469,0.030923790420561186,0.03942788388555005
2022-05-05,0.0,-0.015592094759836162,-0.0038570968169246507,0.0,-0.021900276786852715,-0.048297645820205556,-0.08883588577076611,-0.05754368703420109,-0.06775782350813203
2022-05-06,0.0,0.0,0.0,0.0,0.0,-0.032340946156290386,-0.052254924906397215,-0.0003497424125650654,-0.011198529104894914
2022-05-09,-0.01280427224598774,-0.02166149678117942,-0.03171037061541302,0.0,-0.007845355388313349,-0.06141629446343411,-0.23671775265883976,-0.03626866914507175,-0.08700826300890824
2022-05-10,-0.03674954220874149,-0.01322576221926125,0.0,0.0,0.0,0.014369998209059537,-0.024047445606884935,0.01062151593768442,-0.10575889258742181
2022-05-11,-0.005361943141385399,-0.011904902506318314,-0.00030686827134705525,0.0,0.022070878341506298,-0.00443020214290964,-0.0828888982136727,-0.03032440176523944,0.011885389076523973
2022-05-12,-0.06669137449867228,-0.022711044260214648,-0.02046580836235051,0.0,-0.02836271771350528,-0.03408709512203675,0.10035751484901907,0.00828379921231387,0.03681993584919643
2022-05-13,0.01709443335930004,0.025700583108580703,0.027500628356887727,0.0,0.027791710809756055,0.01618280094411582,0.12372772497621759,0.030936311035256864,0.07516160755202198
2022-05-16,0.005633817718256064,-0.007490671729157626,-0.000914772603651081,0.0,-0.004722055277683885,0.004131232979075022,-0.03563738784750197,-0.008964947120344277,-0.04518619197773776
2022-05-17,0.0056022555486697516,0.0015026298845350965,0.01753890178804474,0.0,0.01155101045297282,0.06026785481986779,0.03085457701152468,0.016982386564073335,0.047695616461286096
2022-05-18,0.0055710450494554295,-0.004514680354526583,0.00239529036863127,0.0,0.006078163001128888,-0.06932588780689382,-0.049041503181602795,-0.05598519390523321,-0.05016821388793788
2022-05-19,0.008298802814695064,-0.015197860909431392,-0.010823968054118789,0.0,-0.011195644989075859,0.04660254608832424,0.04506532310377237,0.0017686731437505585,0.013775890886097892
2022-05-20,0.02985296314968113,0.004583659667657893,0.03124779917825142,0.0,0.006109479285442303,-0.018333020855037612,-0.03517256605691056,-0.009795172195793405,-0.019937143394403303
2022-05-23,0.0,-0.009188426054406255,-0.006761701322299878,0.0,0.004522274364697786,0.05148560863917024,-0.011876782739080681,0.012776512562792528,-0.007798813135892039
2022-05-24,0.010638398205055797,-0.023347363996991177,-0.025696059626207458,0.0,-0.037496486280109244,-0.021271435239568134,-0.05746719216884367,-0.01942500006624287,-0.04966606446374922
2022-05-25,-0.01869213301215252,-0.0015760444554657658,0.00873895522992469,0.0,0.007728985073389502,0.008196693299435245,0.05178284060580165,0.01268417019783759,-0.0020749368575144482
2022-05-26,0.17962249982478962,0.0031496089028962013,0.010446245348722526,0.0,-0.018768974054161527,0.019862637846070872,0.05159610776721246,0.02998169295043235,0.06135157387868204
2022-05-27,0.002249719734015546,0.012500162764231468,0.017949719561302514,0.0,0.0045781221802076505,0.015633454199694558,0.042899884374753956,0.018300726599071736,0.037970343372485144
2022-05-30,-0.009029406719394265,0.012345835822299362,0.015625241045599213,0.0,0.012737179251098634,-0.0250953305755097,-0.030010980911041853,-0.012582505843484195,-0.05074513820419529
